,loss,conv,dataset,train acc micro,test acc micro,train acc macro,test acc macro
170,VERSE_SR,SAGE,Cornell,0.5503875968992248,0.5277777777777778,0.1567987567987568,0.1759259259259259
171,VERSE_SR,GCN,Wisconsin,0.6306818181818182,0.6,0.4715763906258659,0.3583877995642702
172,VERSE_SR,GAT,Wisconsin,0.625,0.68,0.4964016003401442,0.3983164983164983
173,VERSE_SR,SAGE,Wisconsin,0.8409090909090909,0.72,0.7729290617848971,0.3835526315789474
174,Force2Vec,GCN,Cornell,0.8217054263565892,0.75,0.80673238462877,0.6717995169082125
175,Force2Vec,GAT,Cornell,0.7131782945736435,0.5277777777777778,0.5165216213271133,0.2969841269841269
176,Force2Vec,SAGE,Cornell,0.8992248062015503,0.6944444444444444,0.6892648951472482,0.5773809523809523
177,Force2Vec,GCN,Texas,0.7054263565891473,0.6111111111111112,0.3903949645948072,0.4014285714285713
178,Force2Vec,GAT,Texas,0.689922480620155,0.5,0.3909090909090909,0.2575757575757575
179,Force2Vec,SAGE,Texas,0.9147286821705426,0.75,0.6914367451730371,0.6334010840108402
180,Force2Vec,GCN,Wisconsin,0.7954545454545455,0.58,0.7313872556809153,0.3761599511599512
181,Force2Vec,GAT,Wisconsin,0.6875,0.58,0.6236074309322391,0.2627450980392157
182,Force2Vec,SAGE,Wisconsin,0.9147727272727272,0.9,0.9020993788819875,0.8286878216123499
183,DeepWalk,GCN,Cora,0.916139,0.844732,0.90952,0.823888
184,DeepWalk,GAT,Cora,0.864451,0.828096,0.854583,0.806252
185,DeepWalk,SAGE,Cora,0.917722,0.787431,0.915103,0.749743
186,Force2Vec,GCN,Cora,0.9045358649789028,0.878003696857671,0.8956039602145144,0.860953886701953
187,Force2Vec,GAT,Cora,0.8834388185654009,0.8521256931608133,0.8735994704390642,0.8271753597404704
188,Force2Vec,SAGE,Cora,0.944620253164557,0.8114602587800369,0.9403996151147318,0.7677272377022238
189,Force2Vec,GCN,Citeseer,0.8119364534134822,0.7609022556390979,0.7884066780409063,0.7273318493874975
190,Force2Vec,GAT,Citeseer,0.7977672820953199,0.7263157894736842,0.7687081979271236,0.6833689157035546
191,Force2Vec,SAGE,Citeseer,0.807213396307428,0.7639097744360903,0.7777308260973071,0.725210432379184
192,VERSE_Adj,GCN,Cora,0.435126582278481,0.432532347504621,0.3148403493390549,0.2758223988545741
193,VERSE_Adj,GAT,Cora,0.5485232067510548,0.5360443622920518,0.4993526334202017,0.4218933796258755
194,VERSE_Adj,SAGE,Cora,0.5975738396624473,0.5212569316081331,0.5967035981395191,0.4535967992740183
195,VERSE_Adj,GCN,Citeseer,0.2614856161442679,0.2285714285714285,0.1324000283982194,0.1266568692810493
196,VERSE_Adj,GAT,Citeseer,0.334907685702018,0.3097744360902256,0.2192462861002212,0.2201742575523658
197,VERSE_Adj,SAGE,Citeseer,0.4860455130957492,0.5067669172932331,0.4451933361870781,0.4510964556082759
198,VERSE_SR,GCN,Cora,0.8132911392405063,0.7948243992606285,0.8026043293592972,0.7724491751763216
199,VERSE_SR,GAT,Cora,0.7974683544303798,0.7227356746765251,0.7848695449532597,0.6961366711688844
200,VERSE_SR,SAGE,Cora,0.8117088607594938,0.7171903881700554,0.809739515525054,0.6915615935923901
201,VERSE_SR,GCN,Citeseer,0.6616573636753972,0.6932330827067669,0.5881373046167813,0.6156806856263419
202,VERSE_SR,GAT,Citeseer,0.6753971661657364,0.7097744360902256,0.6033703072573103,0.6341508061291197
203,VERSE_SR,SAGE,Citeseer,0.7123228853585228,0.6766917293233082,0.6810596781471725,0.6268872243340577
204,VERSE_PPR,GCN,Cora,0.830168776371308,0.8003696857670979,0.8186674739393007,0.7829260297180312
205,VERSE_PPR,GAT,Cora,0.8085443037974683,0.743068391866913,0.7996234579925581,0.6926650062542272
206,VERSE_PPR,SAGE,Cora,0.8481012658227848,0.7227356746765251,0.8434160778766432,0.6829976650306574
207,VERSE_PPR,GCN,Citeseer,0.6788321167883211,0.7233082706766916,0.5974651274754283,0.6333645706032028
208,VERSE_PPR,GAT,Citeseer,0.6728209531987978,0.7112781954887217,0.5865846497135203,0.6211440401198874
209,VERSE_PPR,SAGE,Citeseer,0.72992700729927,0.718796992481203,0.700717565729185,0.6676138736574706
210,LINE,GCN,Cora,0.3095991561181435,0.3345656192236599,0.1119457007096095,0.1085678457429483
211,LINE,GAT,Cora,0.330168776371308,0.2828096118299446,0.1590696231827839,0.0880296255500358
212,LINE,SAGE,Cora,0.4472573839662447,0.3271719038817005,0.4175517768335378,0.1972934673203162
213,LINE,GCN,Citeseer,0.2546157148990983,0.2345864661654135,0.1227894897944171,0.1231380379469551
214,LINE,GAT,Citeseer,0.2528982395878059,0.1864661654135338,0.1465254477336042,0.1178161612270394
215,LINE,SAGE,Citeseer,0.4182052382996994,0.3413533834586466,0.3930273670468419,0.2978939635590122
216,GraphFactorization,GCN,Cora,0.8834388185654009,0.833641404805915,0.8751668558605036,0.8051335542906385
217,GraphFactorization,GAT,Cora,0.8586497890295359,0.7966728280961184,0.8489621029976424,0.7763506225163403
218,GraphFactorization,SAGE,Cora,0.8713080168776371,0.7763401109057301,0.8628531836981826,0.7429731297749965
219,GraphFactorization,GCN,Citeseer,0.7535422928295405,0.7368421052631579,0.7078116629717761,0.6804396562268015
220,GraphFactorization,GAT,Citeseer,0.7668527264920566,0.7368421052631579,0.722349302133666,0.6742676879530056
221,GraphFactorization,SAGE,Citeseer,0.686560755689137,0.6255639097744361,0.6327954813193961,0.5630977524957478
222,HOPE_CN,GCN,Cora,0.8871308016877637,0.8077634011090573,0.8840213542603835,0.7776073926010209
223,HOPE_CN,GAT,Cora,0.8707805907172996,0.822550831792976,0.8609037290980928,0.791397414888305
224,HOPE_CN,SAGE,Cora,0.8681434599156118,0.711645101663586,0.8607968979702699,0.6657678688237337
225,HOPE_CN,GCN,Citeseer,0.7410905968226706,0.7233082706766916,0.7016312477863894,0.670503850597921
226,HOPE_CN,GAT,Citeseer,0.7458136539287248,0.7082706766917293,0.7064556434079087,0.6630050741177366
227,HOPE_CN,SAGE,Citeseer,0.7191927866036927,0.5729323308270676,0.6719155073626192,0.534273447066761
228,HOPE_AA,GCN,Cora,0.8744725738396625,0.8373382624768947,0.8644269315855277,0.8187472343276714
229,HOPE_AA,GAT,Cora,0.885548523206751,0.8354898336414047,0.8734410971067652,0.796151520668648
230,HOPE_AA,SAGE,Cora,0.8438818565400844,0.7578558225508318,0.8386212056393798,0.7176161186408431
231,HOPE_AA,GCN,Citeseer,0.7406612279948476,0.7353383458646616,0.6843794804527673,0.6695200434609996
232,HOPE_AA,GAT,Citeseer,0.7496779733791326,0.7398496240601504,0.6970228672030029,0.6692728416058941
233,HOPE_AA,SAGE,Citeseer,0.6809789609274367,0.6360902255639098,0.6355039011838054,0.5886571953067291
234,HOPE_RPR,GCN,Cora,0.9045358649789028,0.8632162661737522,0.8955173007768616,0.8431072181803954
235,HOPE_RPR,GAT,Cora,0.9087552742616034,0.8539741219963033,0.9003442858686139,0.8214818709853086
236,HOPE_RPR,SAGE,Cora,0.8285864978902954,0.7523105360443623,0.8167616951192965,0.6792766405972419
237,HOPE_RPR,GCN,Citeseer,0.7604121940747102,0.7578947368421053,0.7089517917632087,0.6890024077562479
238,HOPE_RPR,GAT,Citeseer,0.772434521253757,0.7428571428571429,0.7240035745332719,0.6858910754870983
239,HOPE_RPR,SAGE,Citeseer,0.7063117217689996,0.687218045112782,0.6290396986813643,0.6044952248512193
240,HOPE_Katz,GCN,Cora,0.8523206751054853,0.7855822550831792,0.8450707705338603,0.7630930923425445
241,HOPE_Katz,GAT,Cora,0.8539029535864979,0.7855822550831792,0.8463407525913754,0.7524109257434857
242,HOPE_Katz,SAGE,Cora,0.8412447257383966,0.6229205175600739,0.8299601948127717,0.5897655412364361
243,HOPE_Katz,GCN,Citeseer,0.6955775010734221,0.687218045112782,0.6084635051491687,0.6043882039676909
244,HOPE_Katz,GAT,Citeseer,0.72992700729927,0.7007518796992481,0.6625249868916122,0.6292961279024243
245,HOPE_Katz,SAGE,Citeseer,0.7161872048089307,0.6090225563909775,0.6455201351281881,0.5541972420454715
246,Node2Vec,GCN,Cora,0.9140295358649788,0.8613678373382625,0.909085599668802,0.8432875620998094
247,Node2Vec,GAT,Cora,0.8539029535864979,0.7911275415896488,0.839282968352487,0.749968684328862
248,Node2Vec,SAGE,Cora,0.9061181434599156,0.8077634011090573,0.8995710028957509,0.7768279822260873
249,Node2Vec,GCN,Citeseer,0.7844568484328038,0.7699248120300752,0.7572007071428102,0.7269814199376142
250,Node2Vec,GAT,Citeseer,0.7659939888364105,0.7218045112781954,0.7266274658569655,0.6726965445942796
251,Node2Vec,SAGE,Citeseer,0.7904680120223272,0.7639097744360903,0.7629334855130612,0.7242172276720874
252,DeepWalk,GCN,Citeseer,0.8016316015457277,0.7714285714285715,0.7751662520694084,0.7240622686119046
253,APP,GCN,Cora,0.2943037974683544,0.3142329020332717,0.075847079143852,0.0745713796561254
254,APP,GAT,Cora,0.3169831223628692,0.2902033271719039,0.1350931370206221,0.0810765334746426
255,APP,SAGE,Cora,0.3881856540084387,0.277264325323475,0.3155974893106879,0.1117658149825753
256,APP,GCN,Citeseer,0.2589094031773293,0.2586466165413534,0.1507293117374364,0.1719665568644652
257,APP,GAT,Citeseer,0.2524688707599828,0.2165413533834586,0.1707811121588233,0.1679745340939376
258,APP,SAGE,Citeseer,0.3387720051524259,0.3233082706766917,0.2765811825591738,0.2765726743457038
259,LapEigen,GCN,Cora,0.6223628691983122,0.5914972273567468,0.5248705851955472,0.4982753275920514
260,LapEigen,GAT,Cora,0.8491561181434599,0.8133086876155268,0.8356214639651072,0.7895398851513127
